Country,Active Cases 2020,Active Cases 2021,Active Cases 2022,Cumulative Total Cases 2020,Cumulative Total Cases 2021,Cumulative Total Cases 2022,Cumulative Total Deaths 2020,Cumulative Total Deaths 2021,Cumulative Total Deaths 2022,Daily New Cases 2020,Daily New Cases 2021,Daily New Cases 2022,Daily New Deaths 2020,Daily New Deaths 2021,Daily New Deaths 2022,GDP per Capita 2020,GDP per Capita 2021,GDP per Capita 2022
Macao,1239,847,122,13269,21496,10818,0,0,0,36,33,3,0,0,0,36976.25611,45376.31459,36909.95641
Madagascar,234782,531980,527534,2725573,13244489,8250023,36336,269418,176690,17711,32565,13957,260,766,366,450.7716152,490.2062386,497.2425148
Malawi,236491,1913098,929719,982554,16127502,11334181,29152,558370,346186,6580,68492,10812,188,2175,272,602.5074782,617.4475208,604.2697512
Malaysia,1203803,31638549,18821210,6305919,435828079,487547827,49279,4290081,4501480,112988,2645076,1717787,471,31016,4125,9957.526267,10903.11164,11748.09193
Maldives,277000,1453362,1770452,1778965,21538865,21117709,6298,59645,38668,13755,81943,83783,47,214,36,7393.888654,10176.14388,11786.00915
Mali,189028,768536,168025,740033,4925884,3986807,31268,178577,96123,7088,13918,9995,268,391,73,804.3439567,862.4674001,813.9650341
Malta,194272,522045,707632,918438,11450331,10120819,11596,147052,81396,12771,39699,40973,218,258,236,31796.82134,38027.38017,36142.20585
Marshall Islands,55,0,202,200,1460,1195,0,0,0,3,0,13,0,0,0,5661.967873,6258.611937,6322.828555
Mauritania,243370,328297,235135,1505492,9459679,7672454,34928,213784,128963,14363,27109,17367,346,519,116,1795.764596,1947.789184,1960.352401
Mauritius,15281,443499,180252,111760,2670861,4279160,2720,40525,121659,553,22937,14350,9,776,210,9011.042884,9068.973002,10239.79705
Mexico,24812588,112053837,58835152,149411945,1025906528,709105341,18497571,87497792,42323586,1413933,2555751,1775966,145193,154090,25180,8841.27075,10314.05067,11385.40708
Micronesia,0,17,100,0,355,234,0,0,0,0,0,6,0,0,0,3353.88943,3493.872286,3835.381843
Moldova,2480943,2614983,1758769,12284224,95236974,64333340,298704,2399780,1488083,144817,231337,140831,3109,7165,1214,4375.778893,5274.605822,5738.424735
Monaco,10374,41044,37272,63711,998682,1279935,422,10832,6712,874,4292,6837,3,35,16,176891.8865,223823.364,226052.0019
Mongolia,28794,7754014,18379535,91530,56573309,60643746,3,268548,287907,1214,388146,80524,0,2058,120,4001.251931,4517.61578,4993.514875
Montenegro,847950,1697185,548988,3038915,39162192,30068166,45322,580947,353493,48245,121787,66178,681,1729,307,7677.371321,9465.96153,10093.4387
Morocco,4379104,5334707,1930648,31729492,244881694,152081227,539218,3980187,2111983,439192,523899,202614,7388,7461,1222,3268.030273,3785.936279,3455.39624
Mozambique,362300,3052959,1007944,1631416,36649059,29836858,12401,442220,291778,18641,170438,36413,165,1840,195,462.4338765,509.9078295,578.2516638
Myanmar,1699077,7500700,1387904,6781679,103437024,77791589,148414,3375849,2596172,124628,406204,82302,2681,16586,166,1490.216835,1242.721344,1158.05005
Namibia,365128,1917722,384129,1811909,31341189,21001509,17821,711319,531534,23939,124033,12100,204,3428,395,3878.58983,4412.835569,4349.045322
Nauru,0,0,60,0,0,168,0,0,0,0,0,7,0,0,0,10695.69933,14989.66475,13287.27119
Nepal,3456821,9061440,2156067,21242993,207257019,127677382,185438,2767041,1589519,260592,567838,150560,2703,8891,358,1154.215176,1252.750767,1385.910663
Netherlands,19609392,68251132,153904704,50453896,632389275,850574939,1820564,6308735,2905747,796980,2335764,4934371,11529,9422,1341,53467.92774,60141.98809,59123.31856
New Caledonia,589,134982,468473,6885,1143735,6034632,0,24556,40001,36,12754,48257,0,280,31,33270.3306,35311.55436,33516.36309
New Zealand,33512,214296,7956937,470998,1585794,52137603,7275,12411,35053,2161,11956,1023737,30,29,850,41785.69229,49624.18167,48216.50958
Nicaragua,263936,2133820,1828373,947576,3745423,2424074,28253,69478,29551,6045,11441,1004,164,47,13,1931.615158,2128.609806,2325.167379
Niger,51252,83240,23952,331422,2033980,1163526,17308,71859,40561,3322,4082,1608,103,171,35,579.5124958,608.7224396,609.7451476
Nigeria,2252719,3719809,1415117,11232234,64305447,34012364,212679,827627,419669,87607,154734,13518,1289,1742,112,2019.657063,2017.274865,2139.374785
Norway,0,0,0,4431539,54528354,150844631,72831,293169,286429,49566,344692,1035458,440,894,1727,68340.0181,93072.89251,108798.4512
Oman,2360420,3527221,945734,19055810,86768455,49151517,174606,1076361,564617,128865,176741,83789,1499,2617,143,16784.86306,19403.46002,23665.63947
Pakistan,8859150,16714501,4325360,66289370,347158197,197303220,1409826,7741132,4010097,479713,815661,233789,10105,18822,1449,1278.397352,1455.319224,1538.322813
Palau,0,79,73214,0,845,414103,0,0,534,0,8,4869,0,0,5,14556.58969,13257.20667,14392.19903
Panama,4834713,3989086,2713907,22769441,147763042,96591818,451030,2376377,1068752,246789,249130,310357,4022,3406,775,13290.56083,15509.80691,17332.43607
Papua New Guinea,16502,470593,82747,84463,5865813,5428964,965,71820,84011,779,35378,7718,9,581,61,2429.611346,2607.578619,3101.710632
Paraguay,2484961,7577102,2505366,8191908,126806155,81873261,177890,4030440,2452624,107963,360061,181693,2381,14560,1930,5365.472207,5976.931798,6205.625954
Peru,0,0,0,145204563,681677001,445242923,16676206,62812506,28072620,1015136,1281694,1275088,100446,102241,10333,6133.325524,6826.972007,7363.272069
Philippines,8925880,24810096,10537495,53524160,579170184,476605381,1048096,9812003,7617955,474052,2369814,844053,9243,42258,8953,3227.579102,3484.385939,3548.069306
Poland,24348506,86305654,73782412,69804295,977815477,731424498,1422317,24394434,14817602,1294765,2813450,1895081,28555,68498,19153,15987.57537,18635.51049,18891.21212
Portugal,0,0,0,29136508,337346507,420111809,620867,6069081,2814919,414197,975245,2677230,6917,12035,3631,22299.40441,24711.45101,24620.51956
Qatar,2123765,1935358,1209028,26516417,76672013,46175531,41312,179203,88593,143833,106694,115506,245,373,59,51683.50544,71751.88312,88701.46335
Romania,0,0,0,41825937,420014029,345701379,1328737,12807419,8449704,632262,1176628,1093899,17744,41073,6789,13082.30066,14986.78549,15557.88262
Rwanda,190357,8342843,10892396,835780,20140877,17185823,5360,258930,193479,8382,103403,18121,91,1258,109,778.7015386,828.8330328,975.4693159
Saint Vincent And The Grenadines,1729,168518,31919,14217,980381,895237,0,8688,13510,120,5729,949,0,80,25,8395.099889,8481.305374,9471.146273
Samoa,22,94,255244,78,1052,324762,0,0,588,1,1,11310,0,0,23,9294.459375,9591.902835,10943.46267
San Marino,47426,67283,95017,246338,1802272,1864249,12056,31343,14817,2427,5774,8650,59,41,15,44426.64634,54168.98283,54264.5705
Saudi Arabia,5900542,1955852,2188538,64831639,172592703,95849129,869637,2814113,1206452,362740,193495,202559,6223,2654,237,23271.40376,28396.08642,34454.19577
Senegal,472349,1055252,132208,2803700,19184451,11360014,55512,484535,261410,19139,55915,10980,410,1480,76,1461.087204,1598.10677,1564.745221
Serbia,5289850,18006579,13042063,15906115,281495508,244860119,206865,2636678,1997647,337922,961416,713258,3210,9503,3332,8098.709557,9680.527981,10022.96885
Seychelles,4272,227356,185693,28291,4859634,5121983,0,24406,21069,273,24513,18447,0,133,33,14041.47541,14982.91115,17167.19098
Sierra Leone,0,0,0,447589,1877907,1021881,15539,36424,16734,2610,4453,618,75,47,2,845.3138363,885.1842707,860.130884
Singapore,1291947,1993247,6222906,12498089,37478110,105130899,6795,59560,146058,58527,220806,960828,29,799,534,61466.80368,79601.41296,88428.70242
Slovenia,1603277,4799687,7815523,5619066,97490909,113510086,118318,1585319,836160,122197,341852,555418,2696,2892,1033,25392.06511,29187.36938,28373.83823
Solomon Islands,729,488,353136,1082,7092,1045922,0,0,11693,16,7,18150,0,0,144,2063.331015,1996.869768,2005.413993
Somalia,270540,2489114,1527965,814629,5482561,3473558,23420,287517,180141,4713,18818,2986,129,1203,17,518.1847785,549.1147435,573.1280925
South Africa,16352364,32006169,6493841,123537858,799558178,492807714,3044361,24532459,13127691,1063546,2394739,429163,29082,62565,9105,5580.603831,6843.399419,6523.410978
South Korea,0,0,0,5964337,79740155,1032511635,104000,824945,1691116,60712,570098,17125789,900,4663,18098,31721.29891,35125.5225,32394.68337
Spain,53694318,116375190,203542393,198743843,1482290562,1424444278,8967995,28656472,13255573,1970293,4416934,5739185,50837,38610,15997,27230.35999,30817.68286,30287.36576
Sri Lanka,572042,7948818,1609324,2133976,106566479,85707685,9247,2109385,2149520,43298,543946,76418,204,14775,1532,3846.174496,3999.337647,3342.719896
Sudan,0,0,0,2959528,13136715,7909846,234923,1150159,628443,25237,21280,15643,1924,2185,826,577.7952271,712.1220093,1046.240845
Suriname,61501,1592515,3265760,756340,9143566,10048059,15479,205300,173415,6209,46059,27739,121,1067,148,4755.392217,5029.848385,6084.438767
Sweden,10810725,26931605,37827883,30694819,361495551,306171201,1513565,5168613,2349927,454757,881845,1168291,10002,5344,3517,52653.75659,61174.96802,55296.93715
Switzerland,8006297,22535207,74172316,29394991,268885207,382864801,686940,3889045,1787525,451185,883601,2297094,7801,4567,1514,85897.78433,93446.43445,93245.79521
Tajikistan,250439,17423,1528,2005435,5430209,2321972,16067,38573,16616,13281,3799,293,88,34,0,834.3117155,896.7480534,1052.179495
Tanzania,0,0,0,2427692,6001212,4451163,75459,170394,105783,9542,19745,6048,286,437,103,1117.415283,1159.856567,1207.853027
Thailand,87635,24428699,20870429,969239,279343875,426886079,15557,2687732,3263306,6850,2216551,2144317,61,21637,7726,6985.643939,7058.0695,6909.359975
Togo,82940,475245,215920,381764,5916002,4879380,8764,56733,36063,3632,26530,6857,67,180,25,853.5782203,939.6133738,898.7581544
Tonga,0,27,125103,0,63,504096,0,0,513,0,0,11048,0,0,9,4700.449328,4912.579506,4933.074791
Tunisia,0,0,0,7907744,176070983,130564321,230417,5982902,3688393,143928,596313,300955,4676,20893,3006,3548.653637,3885.281665,3678.400234
UK,93236080,361604505,282450893,178022141,2292366297,2592568642,11863093,47935165,22153657,2637933,11040271,8481568,77071,75163,24474,40201.68124,46896.86624,45935.92765
USA,560636623,1160717309,948963911,1806452210,13627587582,10489153474,48690007,233348248,129921401,20763414,35608936,27837108,372760,478606,175280,64411.37318,71318.30736,78035.17536
Uganda,-75947,7297643,7839576,2384720,32126608,21683373,28565,664447,475316,42623,98113,23332,425,2867,302,845.7664639,882.7917175,963.0673141
Ukraine,0,0,0,65134028,807420123,616626046,1204799,18413780,14024453,1055046,2612602,1338811,18533,77366,12550,3709.769287,4775.945801,4199.670898
United Arab Emirates,2830139,5077619,4657374,22253475,213010290,116183704,99619,623534,304638,207814,554115,140224,669,1495,138,37173.87541,43360.0211,49899.0653
Uruguay,180324,3904340,3586216,761848,98935192,104383438,12262,1470801,920873,19115,394264,489157,180,5989,1043,15789.68574,17888.21151,20691.9739
Uzbekistan,754390,1068537,503048,9682117,46374203,30788587,75602,332791,214752,77056,121843,39885,613,871,152,1978.280519,2258.519641,2578.666894
Vanuatu,21,199,65701,52,1375,316226,0,256,500,0,6,8375,0,0,13,3042.987116,3107.203129,3265.396451
Vietnam,66885,103879325,202757998,253388,209178407,903041431,4933,2976296,5380044,1673,2607597,8085750,35,32575,10455,3534.039535,3704.193559,4116.385761
Zambia,153798,1683048,692644,2437155,52593029,41468820,53271,849928,527179,20723,233549,66317,387,3346,249,951.6443167,1127.160779,1447.123101
Zimbabwe,244108,2878042,763977,1336660,30104082,31896996,36689,1029645,720927,13866,199391,35948,362,4641,478,1730.413489,1724.387731,2040.552459
